                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.47728,                0.35065,                0.92527,                0.92476,                0.80702,                0.86087,                0.77835,                0.50767,                0.48545,                0.92899,             4.1483e-05,             4.1483e-05,             4.1483e-05
                    133,                0.47658,                0.35055,                0.92323,                0.94672,                0.79897,                0.86189,                0.77915,                0.50403,                0.48672,                0.92638,             4.0899e-05,             4.0899e-05,             4.0899e-05
                    134,                0.46802,                0.34571,                0.92512,                0.93623,                0.79923,                 0.8608,                0.77881,                0.50087,                0.48225,                0.92634,             4.0315e-05,             4.0315e-05,             4.0315e-05
                    135,                0.47364,                0.34291,                0.92232,                 0.9313,                0.80121,                0.85939,                0.77677,                0.50646,                 0.4898,                0.93029,             3.9731e-05,             3.9731e-05,             3.9731e-05
                    136,                0.46431,                0.33859,                0.91597,                0.93545,                0.79704,                0.86076,                0.77991,                0.49812,                0.48658,                0.92352,             3.9146e-05,             3.9146e-05,             3.9146e-05
                    137,                0.46222,                0.33768,                0.91934,                0.93461,                0.79855,                0.86175,                0.78106,                 0.4947,                 0.4841,                0.92474,             3.8562e-05,             3.8562e-05,             3.8562e-05
                    138,                0.46675,                0.34007,                0.92444,                0.93291,                0.80251,                0.86255,                 0.7796,                  0.496,                0.48542,                0.92979,             3.7978e-05,             3.7978e-05,             3.7978e-05
                    139,                0.46028,                0.33952,                0.91972,                0.93927,                0.80536,                0.86307,                0.78332,                0.49177,                0.47745,                 0.9276,             3.7394e-05,             3.7394e-05,             3.7394e-05
                    140,                0.46209,                 0.3349,                0.91711,                0.93829,                0.80062,                0.86192,                0.78253,                0.49616,                 0.4924,                0.92669,              3.681e-05,              3.681e-05,              3.681e-05
                    141,                0.46081,                0.33833,                0.92308,                0.92908,                0.80733,                0.86396,                0.78419,                 0.4908,                0.47656,                0.92514,             3.6226e-05,             3.6226e-05,             3.6226e-05
                    142,                0.45816,                0.33257,                0.91633,                0.93664,                 0.8042,                0.86315,                0.78565,                0.48891,                0.47896,                 0.9229,             3.5642e-05,             3.5642e-05,             3.5642e-05
